epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;1.2154953479766846;1.2154953479766846;1.2617523670196533;1.2617523670196533
1;1.1087043285369873;1.1087043285369873;1.2332103252410889;1.2332103252410889
2;1.0992611646652222;1.0992611646652222;1.2528458833694458;1.2528458833694458
3;1.0768071413040161;1.0768071413040161;1.231171727180481;1.231171727180481
4;1.067681074142456;1.067681074142456;1.2389649152755737;1.2389649152755737
5;1.0555287599563599;1.0555287599563599;1.234177589416504;1.234177589416504
6;1.052793025970459;1.052793025970459;1.2363684177398682;1.2363684177398682
7;1.0463255643844604;1.0463255643844604;1.234993577003479;1.234993577003479
8;1.0437242984771729;1.0437242984771729;1.2372208833694458;1.2372208833694458
9;1.0390952825546265;1.0390952825546265;1.2365307807922363;1.2365307807922363
10;1.0378248691558838;1.0378248691558838;1.2383909225463867;1.2383909225463867
11;1.032572865486145;1.032572865486145;1.2366441488265991;1.2366441488265991
12;1.0324281454086304;1.0324281454086304;1.240599513053894;1.240599513053894
13;1.0281379222869873;1.0281379222869873;1.2377458810806274;1.2377458810806274
0;1.300241470336914;1.300241470336914;1.3172451257705688;1.3172451257705688
1;1.1073060035705566;1.1073060035705566;1.2705912590026855;1.2705912590026855
2;1.0900803804397583;1.0900803804397583;1.2904151678085327;1.2904151678085327
3;1.0770142078399658;1.0770142078399658;1.26105535030365;1.26105535030365
4;1.072523593902588;1.072523593902588;1.28486967086792;1.28486967086792
5;1.0614919662475586;1.0614919662475586;1.2588725090026855;1.2588725090026855
6;1.0624141693115234;1.0624141693115234;1.2853702306747437;1.2853702306747437
7;1.0550146102905273;1.0550146102905273;1.2584978342056274;1.2584978342056274
8;1.0549867153167725;1.0549867153167725;1.2809888124465942;1.2809888124465942
9;1.0438232421875;1.0438232421875;1.262773036956787;1.262773036956787
10;1.0440798997879028;1.0440798997879028;1.2762244939804077;1.2762244939804077
11;1.0375696420669556;1.0375696420669556;1.26326322555542;1.26326322555542
12;1.037118673324585;1.037118673324585;1.2742102146148682;1.2742102146148682
13;1.031448245048523;1.031448245048523;1.2638424634933472;1.2638424634933472
14;1.032181978225708;1.032181978225708;1.2774105072021484;1.2774105072021484
15;1.027557611465454;1.027557611465454;1.2650021314620972;1.2650021314620972
16;1.028922200202942;1.028922200202942;1.2795945405960083;1.2795945405960083
17;1.0221155881881714;1.0221155881881714;1.2673423290252686;1.2673423290252686
0;1.1148254871368408;1.1148254871368408;1.247489094734192;1.247489094734192
1;1.091269850730896;1.091269850730896;1.255171537399292;1.255171537399292
2;1.0686339139938354;1.0686339139938354;1.2594821453094482;1.2594821453094482
3;1.0640275478363037;1.0640275478363037;1.2620245218276978;1.2620245218276978
